data_ini_se,chuva_semana_mm,chuva_dias_com_chuva,chuva_max_diaria_mm,cod_ibge
2014-01-05,27.2,4,14.62,5200100
2014-01-12,22.88,6,5.68,5200100
2014-01-19,42.06,7,16.14,5200100
2014-01-26,15.24,4,6.69,5200100
2014-02-02,1.02,0,0.57,5200100
2014-02-09,29.09,5,9.74,5200100
2014-02-16,89.28,7,18.44,5200100
2014-02-23,40.95,7,13.74,5200100
2014-03-02,82.0,7,28.41,5200100
2014-03-09,25.9,4,12.75,5200100
2014-03-16,32.42,6,8.93,5200100
2014-03-23,72.41,7,16.04,5200100
2014-03-30,61.81,7,20.95,5200100
2014-04-06,54.73,7,20.41,5200100
2014-04-13,59.61,6,14.13,5200100
2014-04-20,25.71,4,15.03,5200100
2014-04-27,1.67,1,1.67,5200100
2014-05-04,1.33,1,1.1,5200100
2014-05-11,0.05,0,0.05,5200100
2014-05-18,1.09,1,1.07,5200100
2014-05-25,1.13,0,0.97,5200100
2014-06-01,0.99,0,0.85,5200100
2014-06-08,0.0,0,0.0,5200100
2014-06-15,0.03,0,0.03,5200100
2014-06-22,0.0,0,0.0,5200100
2014-06-29,0.0,0,0.0,5200100
2014-07-06,0.0,0,0.0,5200100
2014-07-13,0.0,0,0.0,5200100
2014-07-20,1.95,0,0.84,5200100
2014-07-27,2.63,1,2.62,5200100
2014-08-03,0.0,0,0.0,5200100
2014-08-10,0.0,0,0.0,5200100
2014-08-17,0.0,0,0.0,5200100
2014-08-24,0.35,0,0.19,5200100
2014-08-31,20.63,3,12.87,5200100
2014-09-07,0.0,0,0.0,5200100
2014-09-14,0.77,0,0.41,5200100
2014-09-21,19.23,5,8.32,5200100
2014-09-28,9.18,2,4.89,5200100
2014-10-05,0.0,0,0.0,5200100
2014-10-12,0.0,0,0.0,5200100
2014-10-19,24.56,6,6.62,5200100
2014-10-26,31.26,6,10.79,5200100
2014-11-02,36.65,6,11.39,5200100
2014-11-09,39.21,6,11.86,5200100
2014-11-16,19.17,5,12.87,5200100
2014-11-23,67.56,6,18.45,5200100
2014-11-30,66.00999999999999,7,24.29,5200100
2014-12-07,70.28,7,20.44,5200100
2014-12-14,45.05,7,11.08,5200100
2014-12-21,45.96,3,28.68,5200100
2014-12-28,23.26,5,14.35,5200100
2015-01-04,4.54,1,3.36,5200100
2015-01-11,8.97,2,4.32,5200100
2015-01-18,27.450000000000003,5,11.46,5200100
2015-01-25,29.92,6,9.96,5200100
2015-02-01,88.93,6,59.62,5200100
2015-02-08,68.05,6,27.27,5200100
2015-02-15,72.4,7,20.03,5200100
2015-02-22,21.39,5,6.52,5200100
2015-03-01,32.07,6,8.62,5200100
2015-03-08,61.39,7,22.85,5200100
2015-03-15,58.33,7,21.24,5200100
2015-03-22,34.76,6,9.85,5200100
2015-03-29,18.62,5,5.41,5200100
2015-04-05,25.25,6,14.01,5200100
2015-04-12,52.94,7,19.68,5200100
2015-04-19,35.49,7,12.94,5200100
2015-04-26,24.51,4,10.64,5200100
2015-05-03,11.13,3,4.37,5200100
2015-05-10,8.35,3,4.22,5200100
2015-05-17,1.36,1,1.05,5200100
2015-05-24,0.26,0,0.15,5200100
2015-05-31,0.0699999999999999,0,0.06,5200100
2015-06-07,0.0,0,0.0,5200100
2015-06-14,0.27,0,0.25,5200100
2015-06-21,0.0,0,0.0,5200100
2015-06-28,0.0,0,0.0,5200100
2015-07-05,1.4200000000000002,1,1.36,5200100
2015-07-12,0.0,0,0.0,5200100
2015-07-19,0.0,0,0.0,5200100
2015-07-26,0.03,0,0.02,5200100
2015-08-02,0.0,0,0.0,5200100
2015-08-09,0.0,0,0.0,5200100
2015-08-16,1.75,1,1.75,5200100
2015-08-23,1.72,0,0.89,5200100
2015-08-30,1.19,0,0.46,5200100
2015-09-06,22.58,2,11.22,5200100
2015-09-13,2.69,1,2.03,5200100
2015-09-20,0.35,0,0.13,5200100
2015-09-27,11.15,2,5.9,5200100
2015-10-04,6.38,2,3.52,5200100
2015-10-11,0.46,0,0.23,5200100
2015-10-18,10.43,1,9.55,5200100
2015-10-25,57.86,7,22.39,5200100
2015-11-01,45.24,6,15.79,5200100
2015-11-08,8.870000000000001,2,4.88,5200100
2015-11-15,42.8,7,11.97,5200100
2015-11-22,89.59,7,38.29,5200100
2015-11-29,39.37,6,14.0,5200100
2015-12-06,31.95,7,14.92,5200100
2015-12-13,20.02,4,8.99,5200100
2015-12-20,43.23,5,19.96,5200100
2015-12-27,70.0,5,32.67,5200100
2016-01-03,80.19,7,18.86,5200100
2016-01-10,101.94,7,22.71,5200100
2016-01-17,165.72,7,54.57,5200100
2016-01-24,87.17999999999999,7,27.79,5200100
2016-01-31,26.34,5,12.42,5200100
2016-02-07,52.69,7,16.56,5200100
2016-02-14,23.57,3,10.64,5200100
2016-02-21,17.32,4,6.05,5200100
2016-02-28,58.72,7,24.86,5200100
2016-03-06,56.1,7,20.84,5200100
2016-03-13,23.16,3,17.4,5200100
2016-03-20,15.64,4,6.33,5200100
2016-03-27,3.28,1,2.8,5200100
2016-04-03,0.28,0,0.27,5200100
2016-04-10,0.38,0,0.38,5200100
2016-04-17,8.21,2,5.02,5200100
2016-04-24,10.09,3,5.29,5200100
2016-05-01,0.04,0,0.04,5200100
2016-05-08,5.82,2,4.7,5200100
2016-05-15,8.86,2,6.22,5200100
2016-05-22,0.01,0,0.01,5200100
2016-05-29,0.0,0,0.0,5200100
2016-06-05,0.0,0,0.0,5200100
2016-06-12,0.0,0,0.0,5200100
2016-06-19,0.0,0,0.0,5200100
2016-06-26,0.0,0,0.0,5200100
2016-07-03,0.0,0,0.0,5200100
2016-07-10,0.0,0,0.0,5200100
2016-07-17,0.0,0,0.0,5200100
2016-07-24,0.0,0,0.0,5200100
2016-07-31,0.0,0,0.0,5200100
2016-08-07,0.03,0,0.03,5200100
2016-08-14,17.28,2,9.9,5200100
2016-08-21,1.44,0,0.64,5200100
2016-08-28,3.71,2,1.48,5200100
2016-09-04,0.0,0,0.0,5200100
2016-09-11,1.26,1,1.06,5200100
2016-09-18,26.52,5,9.72,5200100
2016-09-25,7.08,4,2.21,5200100
2016-10-02,66.85,5,28.27,5200100
2016-10-09,5.19,1,2.61,5200100
2016-10-16,42.09,5,18.33,5200100
2016-10-23,17.59,4,8.61,5200100
2016-10-30,65.17,5,21.72,5200100
2016-11-06,39.07,5,19.54,5200100
2016-11-13,52.8,7,15.28,5200100
2016-11-20,77.53,7,21.81,5200100
2016-11-27,32.65,7,9.59,5200100
2016-12-04,62.13,6,13.61,5200100
2016-12-11,44.96,6,16.71,5200100
2016-12-18,9.55,3,5.84,5200100
2016-12-25,28.3,5,11.1,5200100
2017-01-01,22.94,3,10.86,5200100
2017-01-08,30.98,5,14.0,5200100
2017-01-15,52.15,7,14.24,5200100
2017-01-22,56.42,7,15.62,5200100
2017-01-29,24.67,6,9.99,5200100
2017-02-05,88.13,7,32.35,5200100
2017-02-12,33.67,5,16.91,5200100
2017-02-19,17.95,4,6.61,5200100
2017-02-26,45.25,7,19.26,5200100
2017-03-05,9.14,3,2.94,5200100
2017-03-12,39.85,6,16.18,5200100
2017-03-19,50.58,7,15.53,5200100
2017-03-26,47.88,7,16.74,5200100
2017-04-02,47.39,6,11.58,5200100
2017-04-09,3.03,2,1.8,5200100
2017-04-16,31.050000000000004,4,21.03,5200100
2017-04-23,30.67,5,14.98,5200100
2017-04-30,0.74,0,0.74,5200100
2017-05-07,5.510000000000001,2,3.24,5200100
2017-05-14,20.04,5,5.28,5200100
2017-05-21,12.69,1,12.15,5200100
2017-05-28,0.46,0,0.28,5200100
2017-06-04,0.0,0,0.0,5200100
2017-06-11,0.0,0,0.0,5200100
2017-06-18,0.1699999999999999,0,0.12,5200100
2017-06-25,0.17,0,0.17,5200100
2017-07-02,0.0,0,0.0,5200100
2017-07-09,1.89,1,1.89,5200100
2017-07-16,0.0,0,0.0,5200100
2017-07-23,0.06,0,0.06,5200100
2017-07-30,2.04,1,1.62,5200100
2017-08-06,0.21,0,0.16,5200100
2017-08-13,0.0,0,0.0,5200100
2017-08-20,0.75,0,0.4,5200100
2017-08-27,0.06,0,0.06,5200100
2017-09-03,0.03,0,0.03,5200100
2017-09-10,0.0,0,0.0,5200100
2017-09-17,0.18,0,0.18,5200100
2017-09-24,12.94,2,7.25,5200100
2017-10-01,35.89,2,17.94,5200100
2017-10-08,0.0,0,0.0,5200100
2017-10-15,0.0,0,0.0,5200100
2017-10-22,2.52,1,1.32,5200100
2017-10-29,55.87,6,20.6,5200100
2017-11-05,68.32,6,21.69,5200100
2017-11-12,31.36,5,14.06,5200100
2017-11-19,27.49,4,12.51,5200100
2017-11-26,61.260000000000005,6,21.19,5200100
2017-12-03,38.85,7,11.01,5200100
2017-12-10,167.77,7,45.77,5200100
2017-12-17,36.39,6,14.4,5200100
