cod_ibge,sem_bueiro_pct,sem_pavimento_pct
5000203,79.86,46.44
5000252,48.58,20.49
5000609,51.87,24.56
5000708,77.0,49.52
5000807,65.92,15.92
5000856,83.88,55.61
5000906,47.89,36.6
5001003,79.66,13.61
5001102,65.36,43.63
5001243,35.81,17.98
5001508,84.29,63.06
5001904,82.64,6.57
5002001,61.64,34.08
5002100,84.78,67.41
5002159,84.13,66.18
5002209,61.38,37.79
5002308,51.34,11.59
5002407,58.97,33.47
5002605,58.3,40.96
5002704,50.68,25.19
5002803,38.53,13.36
5002902,76.79,4.32
5002951,55.2,2.89
5003108,78.99,53.99
5003157,69.43,48.36
5003207,60.3,21.74
5003256,46.45,1.87
5003306,65.07,45.21
5003454,73.97,48.14
5003488,84.52,52.87
5003504,67.24,18.77
5003702,40.79,15.08
5003751,65.98,20.46
5003801,58.52,4.64
5003900,56.82,16.55
5004007,58.85,21.5
5004106,83.59,57.23
5004304,64.24,25.58
5004403,58.75,23.24
5004502,69.69,32.3
5004601,55.43,16.61
5004700,49.67,24.0
5004809,36.77,13.4
5004908,71.03,51.48
5005004,71.81,49.06
5005103,17.52,9.12
5005152,77.91,43.66
5005202,88.31,67.07
5005251,23.9,3.25
5005400,43.99,7.99
5005608,76.62,38.16
5005681,29.77,11.21
5005707,20.76,3.6
5005806,80.93,64.02
5006002,79.28,55.4
5006200,50.24,12.87
5006259,57.23,20.06
5006275,54.38,26.48
5006309,87.77,23.01
5006358,60.33,42.66
5006408,76.52,52.85
5006606,59.05,32.32
5006903,63.14,46.37
5007109,69.08,50.14
5007208,58.11,25.14
5007307,64.13,50.56
5007406,64.88,43.01
5007505,52.94,28.12
5007554,67.72,19.0
5007695,57.49,17.3
5007703,54.93,26.52
5007802,96.25,50.03
5007901,59.42,28.49
5007935,52.98,17.08
5007950,68.56,23.58
5007976,54.58,18.53
5008008,60.9,14.74
5008305,68.83,26.43
5008404,50.21,8.11
5100102,92.92,32.66
5100201,69.32,4.33
5100250,69.11,27.48
5100300,76.63,13.12
5100359,99.63,75.37
5100409,78.58,18.08
5100508,73.84,49.28
5100607,88.28,11.0
5100805,87.23,60.14
5101001,99.55,47.66
5101209,95.69,33.62
5101258,71.97,45.98
5101308,82.76,39.15
5101407,74.41,51.59
5101605,80.91,43.37
5101704,81.74,30.44
5101803,63.24,14.53
5101852,98.23,82.79
5101902,83.92,53.2
5102504,68.26,60.3
5102603,86.56,19.34
5102637,47.88,10.09
5102678,51.92,1.11
5102686,70.82,35.21
5102694,96.82,62.72
5102702,82.1,10.01
5102793,83.82,51.84
5102850,37.11,5.26
5103007,79.98,49.05
5103056,15.16,11.97
5103106,94.42,14.27
5103205,40.47,11.23
5103254,96.02,89.69
5103304,85.58,66.92
5103353,91.23,46.45
5103361,62.66,7.91
5103379,95.93,82.42
5103403,47.08,20.45
5103437,98.23,51.77
5103452,88.56,51.41
5103502,63.09,22.03
5103601,72.91,39.01
5103700,68.89,47.42
5103809,62.54,25.7
5103858,97.69,10.9
5103908,92.39,27.7
5103957,98.78,18.58
5104104,57.73,49.33
5104203,75.35,27.69
5104500,95.36,15.36
5104526,8.49,7.3
5104542,93.59,75.58
5104559,17.93,10.37
5104609,60.12,11.01
5104807,65.84,6.19
5104906,75.49,31.67
5105002,56.74,35.34
5105101,83.2,33.8
5105150,64.82,51.54
5105176,76.69,49.06
5105200,71.25,39.71
5105234,58.77,28.97
5105259,14.87,1.0
5105309,98.78,42.68
5105507,81.74,61.47
5105580,60.43,26.95
5105606,32.03,25.93
5105622,81.85,42.72
5105903,82.04,35.52
5106000,72.23,11.94
5106109,79.74,23.2
5106158,91.75,54.98
5106174,97.83,26.35
5106182,76.46,52.08
5106190,67.21,45.35
5106208,87.89,10.27
5106216,66.77,33.33
5106224,21.66,1.77
5106232,56.04,23.43
5106240,75.07,51.73
5106257,81.45,18.96
5106265,81.76,47.75
5106273,83.75,47.66
5106281,86.75,5.49
5106299,20.07,8.62
5106307,90.93,26.98
5106315,85.9,64.1
5106372,73.69,34.28
5106422,80.48,70.1
5106455,94.41,70.02
5106505,79.66,11.46
5106653,75.69,8.03
5106703,89.21,11.95
5106752,75.83,18.45
5106778,94.86,47.55
5106802,99.37,27.25
5106828,91.75,49.64
5106851,88.6,67.28
5107008,95.4,45.93
5107040,35.04,0.85
5107065,82.04,5.54
5107107,77.33,44.86
5107156,76.68,46.29
5107180,96.99,59.79
5107198,98.31,11.82
5107206,58.66,9.87
5107248,13.74,9.49
5107263,49.81,13.13
5107297,87.23,58.72
5107305,60.42,29.55
5107354,90.59,74.08
5107404,60.7,18.43
5107578,74.82,46.35
5107602,50.16,5.92
5107701,89.31,51.84
5107743,97.23,41.11
5107750,59.73,22.43
5107768,17.8,9.09
5107776,99.11,72.95
5107792,67.62,18.77
5107800,84.62,63.66
5107859,95.65,63.96
5107875,74.56,2.17
5107883,100.0,65.78
5107909,5.64,5.97
5107925,6.49,3.17
5107941,95.93,31.35
5107958,64.22,7.85
5108006,36.9,11.84
5108055,84.99,49.93
5108105,79.68,33.25
