cod_subdistrito,ra_nome,domicilios,esgoto_inadequado_pct,sem_agua_rede_pct,lixo_sem_coleta_pct,agua_da_chuva_pct,sem_bueiro_pct,sem_pavimento_pct,indice_vulnerabilidade
53001080539,Fercal,3333,30.48,13.02,2.94,0.0,76.25,22.64,69.7
53001080530,São Sebastião,33827,28.36,24.82,2.57,0.03,64.79,30.38,68.0
53001080509,Brazlândia,17939,16.19,26.2,4.49,0.0,57.48,1.54,67.1
53001080533,SIA,1249,17.45,51.64,0.88,0.0,48.68,42.99,57.6
53001080512,Paranoá,21549,12.94,19.34,3.78,0.05,28.49,1.08,48.0
53001080511,Planaltina,59683,13.45,7.25,2.19,0.01,47.28,5.95,39.7
53001080510,Sobradinho,24546,11.75,13.22,1.27,0.02,54.93,3.87,38.4
53001080531,Sol Nascente/Pôr do Sol,31508,18.51,1.39,1.29,0.0,54.37,39.23,38.2
53001080507,Gama,47675,4.16,16.78,1.84,0.0,50.84,3.42,35.8
53001080542,Park Way,6632,9.21,5.56,0.05,0.0,85.56,4.03,35.5
53001080544,Sobradinho II,27286,10.86,15.01,0.27,0.0,57.41,4.34,33.8
53001080537,Vicente Pires,30737,6.66,13.91,0.66,0.01,40.21,11.67,26.6
53001080534,SCIA,11154,10.88,4.59,0.26,0.0,48.54,26.18,25.9
53001080540,Jardim Botânico,21854,3.72,20.44,0.61,0.01,34.9,9.66,25.4
53001080521,Lago Norte,15087,6.67,11.64,0.59,0.0,37.82,15.66,24.3
53001080532,Arniqueira,13941,5.73,2.07,0.05,0.0,59.09,4.1,22.6
53001080516,Guará,46488,0.69,0.08,0.0,0.0,59.59,0.17,17.4
53001080543,Varjão,3011,2.52,0.56,0.0,0.0,52.51,1.4,16.9
53001080515,Ceilândia,100487,0.34,2.83,0.37,0.0,46.81,0.36,16.5
53001080520,Recanto das Emas,37551,3.48,2.73,0.58,0.0,34.61,4.85,16.3
53001080538,Itapoã,21420,2.62,5.2,0.39,0.0,27.21,6.27,13.4
53001080514,Núcleo Bandeirante,8196,8.41,0.29,0.0,0.0,25.6,0.76,13.1
53001080518,Samambaia,75199,1.67,1.57,0.68,0.13,23.23,0.51,11.3
53001080513,Riacho Fundo,14396,2.45,1.7,0.1,0.0,27.53,1.33,10.1
53001080508,Taguatinga,70182,0.2,0.22,0.08,0.0,30.6,0.28,8.4
53001080536,Águas Claras,53738,0.0,0.31,0.01,0.0,31.66,0.52,8.2
53001080525,Santa Maria,38109,1.86,0.98,0.13,0.0,23.21,1.96,8.1
53001080517,Cruzeiro,9819,0.0,0.0,0.0,0.0,31.51,0.0,7.9
53001080535,Sudoeste/Octogonal,21042,0.0,0.0,0.0,0.0,31.02,0.0,7.8
53001080519,Candangolândia,4773,2.41,0.08,0.0,0.0,19.46,0.04,6.2
53001080506,Plano Piloto,85511,0.12,0.05,0.26,0.0,18.36,0.16,5.4
53001080541,Riacho Fundo II,22058,3.43,1.81,0.06,0.0,6.32,1.71,4.0
53001080523,Lago Sul,8096,0.04,1.12,0.0,0.0,10.76,0.0,2.0
