data_iniSE,se_codigo,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year,data_ini_se,cod_ibge,municipio,uf,ano,semana,tempmed_imputado,tempmin_imputado,tempmax_imputado,umidmed_imputado,umidmin_imputado,umidmax_imputado,incidencia_100k,casos_est_lag1,incidencia_lag1,casos_est_lag2,incidencia_lag2,casos_est_lag3,incidencia_lag3,casos_est_lag4,incidencia_lag4,casos_est_lag8,incidencia_lag8,casos_est_mm3,incidencia_mm3,casos_est_mm4,incidencia_mm4,casos_est_mm8,incidencia_mm8,razao_mm3_mm8,variacao_semanal,tempmed_lag1,tempmed_lag2,tempmed_lag3,tempmed_lag4,tempmed_lag6,tempmed_lag8,tempmin_lag1,tempmin_lag2,tempmin_lag3,tempmin_lag4,tempmin_lag6,tempmin_lag8,tempmax_lag1,tempmax_lag2,tempmax_lag3,tempmax_lag4,tempmax_lag6,tempmax_lag8,umidmed_lag1,umidmed_lag2,umidmed_lag3,umidmed_lag4,umidmed_lag6,umidmed_lag8,tempmed_anomalia,umidmed_anomalia,semanas_favoraveis_8,porte_populacional,log_pop,completude,dado_provisorio,incerteza_nowcast,clima_imputado,historico_insuficiente
1388275200000,201401,0.0,0,0.0,0,0.0,0.0,0,1,310930320140119589,2023-08-20,Buritis,0.0,0.0,25013,18.5714285714286,89.8571428571429,0,0,0,65.0826708571429,34.4285714285714,24.1233797142857,29.8571428571429,0,,,,,8117,2013-12-29,3109303,Buritis,MG,2014,1,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7682166227106144,-13.793678175824127,,medio,4.398165783106361,1.0,0,0.0,0,1
1388880000000,201402,0.0,0,0.0,0,0.0,0.0,0,1,310930320140219589,2023-08-20,Buritis,0.0,0.0,25013,18.2857142857143,83.8571428571429,0,0,0,55.7462791428571,25.7142857142857,24.1043958571429,29.7142857142857,0,,,,,8117,2014-01-05,3109303,Buritis,MG,2014,2,0,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,24.1233797142857,,,,,,18.5714285714286,,,,,,29.8571428571429,,,,,,65.0826708571429,,,,,,1.785919285714325,-21.37005212087916,,medio,4.398165783106361,1.0,0,0.0,0,1
1389484800000,201403,1.0,1,1.0,1,0.9632679,3.997921,0,1,310930320140319589,2023-08-20,Buritis,0.0,18.521612,25013,19.0,84.8571428571429,1,0,0,61.93049,32.1428571428571,23.8968517142857,29.8571428571429,1,,,,,8117,2014-01-12,3109303,Buritis,MG,2014,3,0,0,0,0,0,0,3.9979210810378607,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,24.1043958571429,24.1233797142857,,,,,18.2857142857143,18.5714285714286,,,,,29.7142857142857,29.8571428571429,,,,,55.7462791428571,65.0826708571429,,,,,1.0222202197801984,-10.399256384615391,,medio,4.398165783106361,1.0,0,0.0,0,1
1390089600000,201404,2.0,2,2.0,2,0.921898,7.995842,0,1,310930320140419589,2023-08-20,Buritis,0.0,5.715059,25013,18.1428571428571,93.1428571428571,1,0,0,74.4857485714286,36.5714285714286,21.7493897142857,27.1428571428571,2,,,,,8117,2014-01-19,3109303,Buritis,MG,2014,4,0,0,0,0,0,0,7.995842162075721,1.0,3.9979210810378607,0.0,0.0,0.0,0.0,,,,,0.3333333333333333,1.3326403603459536,0.3333333333333333,1.3326403603459536,0.3333333333333333,1.3326403603459536,1.0,1.0,23.8968517142857,24.1043958571429,24.1233797142857,,,,19.0,18.2857142857143,18.5714285714286,,,,29.8571428571429,29.7142857142857,29.8571428571429,,,,61.93049,55.7462791428571,65.0826708571429,,,,-0.8559061868131828,-0.755584813186772,,medio,4.398165783106361,1.0,0,0.0,0,1
1390694400000,201405,3.0,3,3.0,3,0.86735874,11.993763,0,2,310930320140519589,2023-08-20,Buritis,0.0,2.8712072,25013,18.5714285714286,79.5714285714286,1,0,0,59.0306118571429,32.8571428571429,23.2653058571429,28.5714285714286,1,,,,,8117,2014-01-26,3109303,Buritis,MG,2014,5,0,0,0,0,0,0,11.99376324311358,2.0,7.995842162075721,1.0,3.9979210810378607,0.0,0.0,0.0,0.0,,,1.0,3.9979210810378607,0.75,2.9984408107783955,0.75,2.9984408107783955,1.3333333333333333,0.5,21.7493897142857,23.8968517142857,24.1043958571429,24.1233797142857,,,18.1428571428571,19.0,18.2857142857143,18.5714285714286,,,27.1428571428571,29.8571428571429,29.7142857142857,29.8571428571429,,,74.4857485714286,61.93049,55.7462791428571,65.0826708571429,,,0.3531558461538822,-15.398697912087869,4.0,medio,4.398165783106361,1.0,0,0.0,0,1
1391299200000,201406,2.0,2,2.0,2,0.52850217,7.995842,0,2,310930320140619589,2023-08-20,Buritis,0.0,1.0673786,25013,18.4285714285714,77.8571428571429,1,0,0,50.6020405714286,21.7142857142857,24.4540815714286,30.1428571428571,0,,,,,8117,2014-02-02,3109303,Buritis,MG,2014,6,0,0,0,0,0,0,7.995842162075721,3.0,11.99376324311358,2.0,7.995842162075721,1.0,3.9979210810378607,0.0,0.0,,,2.0,7.9958421620757205,1.5,5.99688162155679,1.2,4.797505297245432,1.6666666666666667,-0.3333333333333333,23.2653058571429,21.7493897142857,23.8968517142857,24.1043958571429,,,18.5714285714286,18.1428571428571,19.0,18.2857142857143,,,28.5714285714286,27.1428571428571,29.8571428571429,29.7142857142857,,,59.0306118571429,74.4857485714286,61.93049,55.7462791428571,,,1.9464361098901328,-25.843606637362598,5.0,medio,4.398165783106361,1.0,0,0.0,0,1
1391904000000,201407,3.0,3,3.0,3,0.61376643,11.993763,0,2,310930320140719589,2023-08-20,Buritis,0.0,1.2601476,25013,18.1428571428571,89.4285714285714,1,0,0,64.5335765714286,38.1428571428571,23.330237,28.4285714285714,2,,,,,8117,2014-02-09,3109303,Buritis,MG,2014,7,0,0,0,0,0,0,11.99376324311358,2.0,7.995842162075721,3.0,11.99376324311358,2.0,7.995842162075721,1.0,3.9979210810378607,,,2.3333333333333335,9.328482522421675,2.0,7.995842162075721,1.3333333333333333,5.330561441383814,1.7500000000000002,0.5,24.4540815714286,23.2653058571429,21.7493897142857,23.8968517142857,24.1233797142857,,18.4285714285714,18.5714285714286,18.1428571428571,19.0,18.5714285714286,,30.1428571428571,28.5714285714286,27.1428571428571,29.8571428571429,29.8571428571429,,50.6020405714286,59.0306118571429,74.4857485714286,61.93049,65.0826708571429,,1.2391293406593356,-13.002755010988992,6.0,medio,4.398165783106361,1.0,0,0.0,0,1
1392508800000,201408,8.0,8,8.0,8,0.95441926,31.983368,0,2,310930320140819589,2023-08-20,Buritis,0.0,2.863227,25013,19.1428571428571,92.4285714285714,1,1,1,76.7170394285714,51.0,22.0341674285714,26.4285714285714,3,,,,,8117,2014-02-16,3109303,Buritis,MG,2014,8,0,0,0,0,0,0,31.983368648302886,3.0,11.99376324311358,2.0,7.995842162075721,3.0,11.99376324311358,2.0,7.995842162075721,,,2.6666666666666665,10.661122882767627,2.5,9.99480270259465,1.5714285714285714,6.2824474130594945,1.696969696969697,1.6666666666666667,23.330237,24.4540815714286,23.2653058571429,21.7493897142857,24.1043958571429,,18.1428571428571,18.4285714285714,18.5714285714286,18.1428571428571,18.2857142857143,,28.4285714285714,30.1428571428571,28.5714285714286,27.1428571428571,29.7142857142857,,64.5335765714286,50.6020405714286,59.0306118571429,74.4857485714286,55.7462791428571,,0.18705804222090805,-3.6460409786003822,7.0,medio,4.398165783106361,1.0,0,0.0,0,1
1393113600000,201409,6.0,6,6.0,6,0.73278886,23.987526,0,2,310930320140919589,2023-08-20,Buritis,0.0,1.459339,25013,19.2857142857143,83.0,1,0,1,64.8678975714286,38.8571428571429,23.6188598571429,28.4285714285714,3,,,,,8117,2014-02-23,3109303,Buritis,MG,2014,9,0,0,0,0,0,0,23.98752648622716,8.0,31.983368648302886,3.0,11.99376324311358,2.0,7.995842162075721,3.0,11.99376324311358,0.0,0.0,4.333333333333333,17.324324684497395,4.0,15.991684324151441,2.375,9.495062567464919,1.8245614035087718,-0.25,22.0341674285714,23.330237,24.4540815714286,23.2653058571429,23.8968517142857,24.1233797142857,19.1428571428571,18.1428571428571,18.4285714285714,18.5714285714286,19.0,18.5714285714286,26.4285714285714,28.4285714285714,30.1428571428571,28.5714285714286,29.8571428571429,29.8571428571429,76.7170394285714,64.5335765714286,50.6020405714286,59.0306118571429,61.93049,65.0826708571429,1.2426396007326481,-12.13107980402927,8.0,medio,4.398165783106361,1.0,0,0.0,0,0
1393718400000,201410,6.0,6,6.0,6,0.522265,23.987526,0,2,310930320141019589,2023-08-20,Buritis,0.0,1.0318556,25013,19.8571428571429,89.7142857142857,1,0,1,74.45122,44.5714285714286,23.0490265714286,27.5714285714286,2,,,,,8117,2014-03-02,3109303,Buritis,MG,2014,10,0,0,0,0,0,0,23.98752648622716,6.0,23.98752648622716,8.0,31.983368648302886,3.0,11.99376324311358,2.0,7.995842162075721,0.0,0.0,5.666666666666667,22.654886125881205,4.75,18.990125134929837,3.125,12.493503378243314,1.8133333333333335,0.0,23.6188598571429,22.0341674285714,23.330237,24.4540815714286,21.7493897142857,24.1043958571429,19.2857142857143,19.1428571428571,18.1428571428571,18.4285714285714,18.1428571428571,18.2857142857143,28.4285714285714,26.4285714285714,28.4285714285714,30.1428571428571,27.1428571428571,29.7142857142857,64.8678975714286,76.7170394285714,64.5335765714286,50.6020405714286,74.4857485714286,55.7462791428571,0.8054683186813385,-4.154721897435877,8.0,medio,4.398165783106361,1.0,0,0.0,0,0
1394323200000,201411,8.0,8,8.0,8,0.6697042,31.983368,0,2,310930320141119589,2023-08-20,Buritis,0.0,1.2530519,25013,19.8571428571429,83.8571428571429,1,0,1,63.4616961428571,34.4285714285714,24.1478344285714,28.8571428571429,5,,,,,8117,2014-03-09,3109303,Buritis,MG,2014,11,0,0,0,0,0,0,31.983368648302886,6.0,23.98752648622716,6.0,23.98752648622716,8.0,31.983368648302886,3.0,11.99376324311358,1.0,3.9979210810378607,6.666666666666667,26.652807206919068,5.75,22.9880462159677,3.875,15.491944189021709,1.7204301075268817,0.3333333333333333,23.0490265714286,23.6188598571429,22.0341674285714,23.330237,23.2653058571429,23.8968517142857,19.8571428571429,19.2857142857143,19.1428571428571,18.1428571428571,18.5714285714286,19.0,27.5714285714286,28.4285714285714,26.4285714285714,28.4285714285714,28.5714285714286,29.8571428571429,74.45122,64.8678975714286,76.7170394285714,64.5335765714286,59.0306118571429,61.93049,1.747382329670316,-14.799475923076962,8.0,medio,4.398165783106361,1.0,0,0.0,0,0
