data_iniSE,se_codigo,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year,data_ini_se,cod_ibge,municipio,uf,ano,semana
1786233600000,202632,2.0,2,2,2,1.433e-07,2.3023703,0,1,317040420263220683,2026-08-18,Unaí,,0.07526884,86867,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,,,,,69915,2026-08-09,3170404,Unai,MG,2026,32
1785628800000,202631,20.0,20,20,20,0.030181378,23.023703,0,1,317040420263120683,2026-08-18,Unaí,,0.5959164,86867,17.5170666666667,41.22955,0,0,0,38.0691833333333,35.2483666666667,18.6842,19.8795666666667,1,,,,,69915,2026-08-02,3170404,Unai,MG,2026,31
1785024000000,202630,25.0,25,25,25,0.053697985,28.779629,0,1,317040420263020683,2026-08-18,Unaí,,0.6647124,86867,22.7503857142857,45.9800714285714,0,0,0,45.9800714285714,45.9800714285714,22.7503857142857,22.7503857142857,1,,,,,69915,2026-07-26,3170404,Unai,MG,2026,30
1784419200000,202629,40.0,40,40,40,0.33498788,46.047405,0,1,317040420262920683,2026-08-18,Unaí,,0.91151,86867,20.6786714285714,51.7156428571429,0,0,0,51.7156428571429,51.7156428571429,20.6786714285714,20.6786714285714,2,,,,,69915,2026-07-19,3170404,Unai,MG,2026,29
1783814400000,202628,33.0,33,33,33,0.03107527,37.98911,0,1,317040420262820683,2026-08-18,Unaí,,0.6622495,86867,20.8269714285714,52.6484142857143,0,0,0,52.6484142857143,52.6484142857143,20.8269714285714,20.8269714285714,2,,,,,69915,2026-07-12,3170404,Unai,MG,2026,28
1783209600000,202627,41.0,41,41,41,0.15720512,47.19859,0,1,317040420262720683,2026-08-18,Unaí,,0.81068873,86867,21.2714,53.6969,0,0,0,53.6969,53.6969,21.2714,21.2714,5,,,,,69915,2026-07-05,3170404,Unai,MG,2026,27
1782604800000,202626,61.0,61,61,61,0.8251546,70.22229,0,1,317040420262620683,2026-08-18,Unaí,,1.1928054,86867,19.7700857142857,63.1659571428571,0,0,1,63.1659571428571,63.1659571428571,19.7700857142857,19.7700857142857,3,,,,,69915,2026-06-28,3170404,Unai,MG,2026,26
1782000000000,202625,44.0,44,44,44,0.17629871,50.652145,0,1,317040420262520683,2026-08-18,Unaí,,0.8284001,86867,20.8184142857143,63.2084571428571,0,0,0,63.2084571428571,63.2084571428571,20.8184142857143,20.8184142857143,3,,,,,69915,2026-06-21,3170404,Unai,MG,2026,25
1781395200000,202624,54.0,54,54,54,0.5002729,62.163998,0,1,317040420262420683,2026-08-18,Unaí,,1.0001311,86867,21.0684571428571,73.0642142857143,1,0,0,73.0642142857143,73.0642142857143,21.0684571428571,21.0684571428571,3,,,,,69915,2026-06-14,3170404,Unai,MG,2026,24
1780790400000,202623,50.0,50,50,50,0.39953312,57.559258,0,1,317040420262320683,2026-08-18,Unaí,,0.9511593,86867,18.3634142857143,75.6031714285714,1,0,0,71.5597142857143,66.7008857142857,19.6931857142857,21.2114,4,,,,,69915,2026-06-07,3170404,Unai,MG,2026,23
1780185600000,202622,62.0,62,62,62,0.72782534,71.37348,0,1,317040420262220683,2026-08-18,Unaí,,1.1180298,86867,16.2968571428571,79.2502142857143,0,0,1,61.6175571428571,42.8781857142857,20.9787571428571,25.6178428571429,3,,,,,69915,2026-05-31,3170404,Unai,MG,2026,22
1779580800000,202621,46.0,46,46,46,0.05756164,52.954517,0,2,317040420262120683,2026-08-18,Unaí,,0.738337,86867,18.1620857142857,83.1837428571429,1,0,0,66.4232285714286,48.1521142857143,22.3111714285714,26.5551142857143,3,,,,,69915,2026-05-24,3170404,Unai,MG,2026,21
1778976000000,202620,52.0,52,52,52,0.08927067,59.861626,0,1,317040420262020683,2026-08-18,Unaí,,0.7810285,86867,19.1953142857143,81.7502714285714,1,0,0,64.0364571428571,45.3829,23.5835,27.9965285714286,3,,,,,69915,2026-05-17,3170404,Unai,MG,2026,20
1778371200000,202619,67.0,67,67,67,0.43028584,77.1294,0,1,317040420261920683,2026-08-18,Unaí,,0.9704184,86867,18.6939857142857,81.2699142857143,1,0,1,63.0696285714286,41.9500285714286,23.4985,28.5554714285714,3,,,,,69915,2026-05-10,3170404,Unai,MG,2026,19
1777766400000,202618,69.0,69,69,69,0.37300205,79.43178,0,1,317040420261820683,2026-08-18,Unaí,,0.94720095,86867,22.6721571428571,62.0522428571429,0,0,1,62.0522428571429,62.0522428571429,22.6721571428571,22.6721571428571,4,,,,,69915,2026-05-03,3170404,Unai,MG,2026,18
1777161600000,202617,64.0,64,64,64,0.15596415,73.67585,0,1,317040420261720683,2026-08-18,Unaí,,0.843014,86867,22.8352571428571,65.8356857142857,0,0,1,65.8356857142857,65.8356857142857,22.8352571428571,22.8352571428571,4,,,,,69915,2026-04-26,3170404,Unai,MG,2026,17
1776556800000,202616,78.0,78,78,78,0.5192475,89.79244,0,2,317040420261620683,2026-08-18,Unaí,,1.0077527,86867,18.9247714285714,80.3042,1,0,1,64.0624285714286,45.6764,23.6055142857143,28.3483142857143,3,,,,,69915,2026-04-19,3170404,Unai,MG,2026,16
1775952000000,202615,73.0,73,73,73,0.3112694,84.036514,0,2,317040420261520683,2026-08-18,Unaí,,0.9234364,86867,19.1831,86.8744285714286,1,0,1,72.1083285714286,55.5763142857143,22.8971571428571,26.6304857142857,2,,,,,69915,2026-04-12,3170404,Unai,MG,2026,15
1775347200000,202614,84.0,84,84,84,0.4670488,96.699554,0,2,317040420261420683,2026-08-18,Unaí,,0.9873924,86867,19.9962142857143,89.9857,1,0,1,76.3546,60.9689285714286,23.7191142857143,27.5348142857143,2,,,,,69915,2026-04-05,3170404,Unai,MG,2026,14
1774742400000,202613,69.0,69,69,69,0.030803513,79.43178,0,2,317040420261320683,2026-08-18,Unaí,,0.744652,86867,18.9774142857143,91.2968428571428,1,0,1,76.8668857142857,58.5247,22.8049571428571,27.1840285714286,2,,,,,69915,2026-03-29,3170404,Unai,MG,2026,13
1774137600000,202612,91.0,91,91,91,0.29692385,104.75785,0,2,317040420261220683,2026-08-18,Unaí,,0.92554563,86867,19.0095714285714,93.6371571428571,1,0,1,79.2219857142857,62.2095714285714,22.8022714285714,26.9063285714286,12,,,,,69915,2026-03-22,3170404,Unai,MG,2026,12
1773532800000,202611,88.0,88,88,88,0.3296507,101.30429,0,2,317040420261120683,2026-08-18,Unaí,,0.93684274,86867,20.4234142857143,95.5577857142857,1,0,1,83.4486142857143,64.2383,23.5324857142857,27.6937285714286,17,,,,,69915,2026-03-15,3170404,Unai,MG,2026,11
1772928000000,202610,107.0,107,107,107,0.98292047,123.17681,0,3,317040420261020683,2026-08-18,Unaí,,1.3667092,86867,20.3600428571429,94.7089142857143,1,1,1,80.2884714285714,60.4629,24.0359571428571,28.5058285714286,10,,,,,69915,2026-03-08,3170404,Unai,MG,2026,10
1772323200000,202609,103.0,103,103,103,0.9991844,118.57207,0,2,317040420260920683,2026-08-18,Unaí,,1.6414717,86867,20.4001142857143,92.4328285714286,1,1,1,77.9487142857143,58.8542142857143,23.8601285714286,27.9801428571429,12,,,,,69915,2026-03-01,3170404,Unai,MG,2026,9
1771718400000,202608,79.0,79,79,79,0.9827706,90.94363,0,2,317040420260820683,2026-08-18,Unaí,,1.4444036,86867,20.5391428571429,92.8700285714286,1,1,1,84.4169285714286,68.8474714285714,22.8177,26.5280428571429,11,,,,,69915,2026-02-22,3170404,Unai,MG,2026,8
1771113600000,202607,52.0,52,52,52,0.5709448,59.861626,0,2,317040420260720683,2026-08-18,Unaí,,1.0358555,86867,20.0959285714286,87.5696,1,0,0,73.6904285714286,57.9842857142857,23.9108285714286,27.7692,8,,,,,69915,2026-02-15,3170404,Unai,MG,2026,7
1770508800000,202606,61.0,61,61,61,0.9072743,70.22229,0,2,317040420260620683,2026-08-18,Unaí,,1.2898568,86867,19.624,92.4021285714286,1,0,1,78.5453285714286,61.7992857142857,23.3644428571429,27.1360714285714,8,,,,,69915,2026-02-08,3170404,Unai,MG,2026,6
1769904000000,202605,43.0,43,43,43,0.5263884,49.50096,0,2,317040420260520683,2026-08-18,Unaí,,1.0143591,86867,20.4672,94.0102285714286,1,0,0,82.2342,64.0926714285714,23.5094428571429,27.5353,6,,,,,69915,2026-02-01,3170404,Unai,MG,2026,5
1769299200000,202604,54.0,54,54,54,0.93472934,62.163998,0,2,317040420260420683,2026-08-18,Unaí,,1.3678887,86867,19.7148285714286,92.4005571428571,1,0,0,78.2418,60.0366142857143,23.5353142857143,28.0310285714286,10,,,,,69915,2026-01-25,3170404,Unai,MG,2026,4
1768694400000,202603,42.0,42,42,42,0.5030072,48.349777,0,2,317040420260320683,2026-08-18,Unaí,,1.0016388,86867,19.8893571428571,94.0987714285714,1,0,0,86.1154142857143,75.8553571428571,22.0878857142857,24.5858857142857,10,,,,,69915,2026-01-18,3170404,Unai,MG,2026,3
1768089600000,202602,31.0,31,31,31,0.07106939,35.68674,0,2,317040420260220683,2026-08-18,Unaí,,0.7114261,86867,19.5359857142857,85.2616857142857,1,0,0,69.4320857142857,51.7249142857143,24.1559714285714,28.7158428571429,4,,,,,69915,2026-01-11,3170404,Unai,MG,2026,2
1767484800000,202601,47.0,47,47,47,0.60243356,54.1057,0,2,317040420260120683,2026-08-18,Unaí,,1.0555305,86867,19.6918142857143,93.4240428571429,1,0,0,81.6206285714286,65.4857714285714,22.6435,26.1541285714286,7,,,,,69915,2026-01-04,3170404,Unai,MG,2026,1
1766880000000,202553,46.0,46,46,46,0.3472452,52.954517,0,2,317040420255320683,2026-08-18,Unaí,,0.9231821,86867,21.1557142857143,89.8052571428571,1,0,0,73.0035857142857,54.5688142857143,25.6319142857143,30.2403428571429,1,,,,,69915,2025-12-28,3170404,Unai,MG,2025,53
1766275200000,202552,38.0,38,38,38,0.039841503,43.745037,0,2,317040420255220683,2026-08-18,Unaí,,0.6939905,86867,20.0651428571429,83.1654714285714,1,0,0,65.8535428571429,49.3596285714286,24.7581571428571,29.4182857142857,9,,,,,69915,2025-12-21,3170404,Unai,MG,2025,52
1765670400000,202551,50.0,50,50,50,0.39528635,57.559258,0,2,317040420255120683,2026-08-18,Unaí,,0.9491276,86867,20.5306571428571,95.2746285714286,1,0,0,83.0224714285714,65.9721428571429,23.4316857142857,26.7703714285714,5,,,,,69915,2025-12-14,3170404,Unai,MG,2025,51
1765065600000,202550,62.0,62,62,62,0.881607,71.37348,0,2,317040420255020683,2026-08-18,Unaí,,1.2509112,86867,20.2905,92.9232285714286,1,0,1,80.9589714285714,62.6723857142857,23.2096428571429,27.2461142857143,11,,,,,69915,2025-12-07,3170404,Unai,MG,2025,50
1764460800000,202549,56.0,56,56,56,0.6669754,64.46637,0,2,317040420254920683,2026-08-18,Unaí,,1.086484,86867,20.9123142857143,90.3431571428571,1,0,0,77.5544285714286,60.6878142857143,23.9292285714286,27.6034428571429,11,,,,,69915,2025-11-30,3170404,Unai,MG,2025,49
1763856000000,202548,38.0,38,38,38,0.10208253,43.745037,0,2,317040420254820683,2026-08-18,Unaí,,0.7626704,86867,20.0752714285714,93.7872428571429,1,0,0,77.9597428571429,56.1528714285714,23.6244571428571,28.2742,9,,,,,69915,2025-11-23,3170404,Unai,MG,2025,48
1763251200000,202547,59.0,59,59,59,0.9163728,67.91992,0,2,317040420254720683,2026-08-18,Unaí,,1.3112814,86867,21.4376,75.9404714285714,1,0,1,53.8569285714286,33.7616142857143,26.2917142857143,31.3588571428571,10,,,,,69915,2025-11-16,3170404,Unai,MG,2025,47
1762646400000,202546,57.0,57,57,57,0.79011875,65.61755,0,1,317040420254620683,2026-08-18,Unaí,,1.1694642,86867,20.6779285714286,79.0908,1,0,1,62.6848,45.4049142857143,24.9242571428571,29.3320571428571,7,,,,,69915,2025-11-09,3170404,Unai,MG,2025,46
1762041600000,202545,33.0,33,33,33,0.0031431848,37.98911,0,1,317040420254520683,2026-08-18,Unaí,,0.5603181,86867,21.1258285714286,88.9549714285714,1,0,0,69.8896714285714,45.2624714285714,25.4744714285714,30.908,12,,,,,69915,2025-11-02,3170404,Unai,MG,2025,45
1761436800000,202544,46.0,46,46,46,0.028515225,52.954517,0,1,317040420254420683,2026-08-18,Unaí,,0.6968459,86867,21.5871571428571,66.8159428571429,0,0,0,50.1078428571429,33.9152714285714,26.4653714285714,31.6954142857143,6,,,,,69915,2025-10-26,3170404,Unai,MG,2025,44
1760832000000,202543,63.0,63,63,63,0.32110026,72.524666,0,1,317040420254320683,2026-08-18,Unaí,,0.9223138,86867,18.1457857142857,78.9439428571429,1,0,1,61.4521857142857,44.5590428571429,21.9123428571429,25.8768142857143,13,,,,,69915,2025-10-19,3170404,Unai,MG,2025,43
1760227200000,202542,70.0,70,70,70,0.6188628,80.58296,0,1,317040420254220683,2026-08-18,Unaí,,1.0529938,86867,21.8341857142857,73.0955428571429,1,0,1,51.7244,34.3218285714286,26.7245,31.9938285714286,18,,,,,69915,2025-10-12,3170404,Unai,MG,2025,42
1759622400000,202541,66.0,66,66,66,0.6342136,75.97822,0,1,317040420254120683,2026-08-18,Unaí,,1.0622895,86867,21.0509285714286,52.0392571428571,0,0,1,36.2291857142857,24.2393285714286,27.0239714285714,32.7551714285714,17,,,,,69915,2025-10-05,3170404,Unai,MG,2025,41
1759017600000,202540,77.0,77,77,77,0.8912161,88.64126,0,1,317040420254020683,2026-08-18,Unaí,,1.2321211,86867,18.3726857142857,49.4262428571429,0,0,1,34.1948714285714,21.1212142857143,24.8956285714286,31.5037,12,,,,,69915,2025-09-28,3170404,Unai,MG,2025,40
1758412800000,202539,50.0,50,50,50,0.09238472,57.559258,0,1,317040420253920683,2026-08-18,Unaí,,0.7800796,86867,20.2825142857143,76.8046285714286,1,0,0,55.4774714285714,35.8090142857143,24.9806142857143,30.2889285714286,15,,,,,69915,2025-09-21,3170404,Unai,MG,2025,39
1757808000000,202538,67.0,67,67,67,0.7142831,77.1294,0,1,317040420253820683,2026-08-18,Unaí,,1.105089,86867,21.5072714285714,51.9905571428571,0,0,1,37.6754142857143,25.7378142857143,26.7412428571429,32.1328,18,,,,,69915,2025-09-14,3170404,Unai,MG,2025,38
1757203200000,202537,64.0,64,64,64,0.83725363,73.67585,0,1,317040420253720683,2026-08-18,Unaí,,1.1986806,86867,18.4055857142857,47.0420142857143,0,0,1,30.8679285714286,19.3385,25.7312285714286,32.5362857142857,17,,,,,69915,2025-09-07,3170404,Unai,MG,2025,37
1756598400000,202536,71.0,71,71,71,0.97196794,81.734146,0,1,317040420253620683,2026-08-18,Unaí,,1.4171412,86867,18.2582428571429,60.4281,0,1,1,42.7343714285714,29.1885142857143,23.5068571428571,28.3657285714286,16,,,,,69915,2025-08-31,3170404,Unai,MG,2025,36
1755993600000,202535,41.0,41,41,41,0.210486,47.19859,0,1,317040420253520683,2026-08-18,Unaí,,0.8440313,86867,17.6265428571429,56.0186714285714,0,0,0,39.9666428571429,26.2499,23.8107428571429,29.934,10,,,,,69915,2025-08-24,3170404,Unai,MG,2025,35
1755388800000,202534,57.0,57,57,57,0.80763394,65.61755,0,1,317040420253420683,2026-08-18,Unaí,,1.1843305,86867,16.0442571428571,53.2656571428571,0,0,1,37.4282,23.0211142857143,22.6475857142857,29.3341857142857,11,,,,,69915,2025-08-17,3170404,Unai,MG,2025,34
1754784000000,202533,44.0,44,44,44,0.3027803,50.652145,0,1,317040420253320683,2026-08-18,Unaí,,0.89877546,86867,16.2613428571429,52.9892,0,0,0,39.0335285714286,26.3347,22.3737285714286,28.6332571428571,6,,,,,69915,2025-08-10,3170404,Unai,MG,2025,33
1754179200000,202532,51.0,51,51,51,0.48903042,58.71044,0,1,317040420253220683,2026-08-18,Unaí,,0.9945983,86867,16.4598428571429,59.9244571428571,0,0,0,44.7498714285714,30.3950142857143,22.0261142857143,27.6847428571429,10,,,,,69915,2025-08-03,3170404,Unai,MG,2025,32
1753574400000,202531,45.0,45,45,45,0.26672462,51.803333,0,1,317040420253120676,2026-08-11,Unaí,,0.88104755,86867,15.8986142857143,61.0408857142857,0,0,0,45.3795428571429,29.6409,21.8987,27.9564571428571,9,,,,,69915,2025-07-27,3170404,Unai,MG,2025,31
1752969600000,202530,54.0,54,54,54,0.7124608,62.163998,0,1,317040420253020671,2026-08-06,Unaí,,1.1167853,86867,16.1403142857143,62.9421,0,0,0,47.0510857142857,31.1768428571429,21.7972142857143,27.7758,12,,,,,69915,2025-07-20,3170404,Unai,MG,2025,30
1752364800000,202529,56.0,56,56,56,0.7629361,64.46637,0,1,317040420252920662,2026-07-28,Unaí,,1.1497136,86867,14.7419,65.1863714285714,0,0,0,49.0952142857143,32.8649428571429,19.8851571428571,25.2619142857143,13,,,,,69915,2025-07-13,3170404,Unai,MG,2025,29
1751760000000,202528,43.0,43,43,43,0.1707237,49.50096,0,1,317040420252820654,2026-07-20,Unaí,,0.8231912,86867,14.4056142857143,71.1213,0,0,0,53.1108571428571,34.9747428571429,19.4064,24.8088714285714,8,,,,,69915,2025-07-06,3170404,Unai,MG,2025,28
1751155200000,202527,48.0,48,48,48,0.21241014,55.256886,0,1,317040420252720647,2026-07-13,Unaí,,0.8555183,86867,14.9482428571429,71.853,0,0,0,54.6241571428571,37.2634142857143,20.2994571428571,25.7632142857143,12,,,,,69915,2025-06-29,3170404,Unai,MG,2025,27
1750550400000,202526,53.0,53,53,53,0.2895822,61.012814,0,1,317040420252620642,2026-07-08,Unaí,,0.90071607,86867,16.1922,75.9348,0,0,0,58.0871571428571,39.0770428571429,21.3763428571429,26.9529857142857,17,,,,,69915,2025-06-22,3170404,Unai,MG,2025,26
1749945600000,202525,56.0,56,56,56,0.3028054,64.46637,0,1,317040420252520636,2026-07-02,Unaí,,0.9094148,86867,14.9639857142857,72.4758428571429,0,0,0,57.8511428571429,39.6901142857143,19.9004714285714,25.1885,14,,,,,69915,2025-06-15,3170404,Unai,MG,2025,25
1749340800000,202524,62.0,62,62,62,0.3520197,71.37348,0,1,317040420252420627,2026-06-23,Unaí,,0.9353091,86867,16.9151714285714,73.2575571428571,0,0,1,58.0896428571429,41.4845571428571,21.5592714285714,26.4291,15,,,,,69915,2025-06-08,3170404,Unai,MG,2025,24
1748736000000,202523,56.0,56,56,56,0.09106126,64.46637,0,1,317040420252320621,2026-06-17,Unaí,,0.78909576,86867,18.0054142857143,80.5481428571428,1,0,0,63.6878428571429,44.2932857142857,22.5777,27.5318571428571,20,,,,,69915,2025-06-01,3170404,Unai,MG,2025,23
1748131200000,202522,71.0,71,71,71,0.3369444,81.734146,0,1,317040420252220619,2026-06-15,Unaí,,0.9331213,86867,16.5830857142857,81.2718285714286,0,0,1,64.3357428571429,45.1306,21.4867571428571,26.5391428571429,27,,,,,69915,2025-05-25,3170404,Unai,MG,2025,22
1747526400000,202521,68.0,68,68,68,0.07958758,78.28059,0,1,317040420252120608,2026-06-04,Unaí,,0.79654276,86867,15.8760428571429,78.5309,0,0,1,62.0801571428571,43.3882857142857,20.9325285714286,26.1673142857143,24,,,,,69915,2025-05-18,3170404,Unai,MG,2025,21
1746921600000,202520,79.0,79,79,79,0.03741593,90.94363,0,1,317040420252020599,2026-05-26,Unaí,,0.7674406,86867,18.1168428571429,80.9655428571429,1,0,1,65.9260714285714,50.1340857142857,21.8906428571429,25.6316714285714,6,,,,,69915,2025-05-11,3170404,Unai,MG,2025,20
1746316800000,202519,75.0,75,75,75,0.0010715732,86.33888,0,1,317040420251920592,2026-05-19,Unaí,,0.6393865,86867,17.868,80.3250285714286,0,0,1,66.5195857142857,48.0681285714286,22.2268428571429,26.9145571428571,9,,,,,69915,2025-05-04,3170404,Unai,MG,2025,19
1745712000000,202518,102.0,102,102,102,0.088584244,117.42088,0,2,317040420251820587,2026-05-14,Unaí,,0.83501506,86867,19.5445142857143,93.8602142857143,1,0,1,80.6540571428571,62.5074285714286,22.8703428571429,26.7204714285714,7,,,,,69915,2025-04-27,3170404,Unai,MG,2025,18
1745107200000,202517,139.0,139,139,139,0.7428089,160.01474,0,2,317040420251720578,2026-05-05,Unaí,,1.08292,86867,20.2639285714286,89.0038714285714,1,0,1,74.7189428571428,56.8959285714286,24.1287,28.3225428571429,11,,,,,69915,2025-04-20,3170404,Unai,MG,2025,17
1744502400000,202516,103.0,103,103,103,0.05914864,118.57207,0,2,317040420251620571,2026-04-28,Unaí,,0.81356084,86867,20.3837285714286,94.8751714285714,1,0,1,82.5854571428571,65.9233,23.4623,27.2399,13,,,,,69915,2025-04-13,3170404,Unai,MG,2025,16
1743897600000,202515,140.0,140,140,140,0.9625335,161.16592,0,2,317040420251520566,2026-04-23,Unaí,,1.2520534,86867,20.2825142857143,83.0636714285714,1,1,1,68.2926428571429,51.7045428571429,23.9931571428571,28.2053142857143,16,,,,,69915,2025-04-06,3170404,Unai,MG,2025,15
1743292800000,202514,140.0,140,140,140,0.9971779,161.16592,0,2,317040420251420557,2026-04-14,Unaí,,1.4354107,86867,20.6019428571429,80.5613857142857,1,1,1,62.9800714285714,43.5166714285714,25.2721714285714,30.0477142857143,10,,,,,69915,2025-03-30,3170404,Unai,MG,2025,14
1742688000000,202513,107.0,107,107,107,0.83667225,123.17681,0,1,317040420251320552,2026-04-09,Unaí,,1.1485941,86867,20.8043142857143,93.7434714285714,1,0,1,79.3873285714286,60.6880857142857,24.1202428571429,28.0974142857143,9,,,,,69915,2025-03-23,3170404,Unai,MG,2025,13
1742083200000,202512,93.0,93,93,93,0.3315684,107.06022,0,1,317040420251220544,2026-04-01,Unaí,,0.9391812,86867,21.7643857142857,80.8916571428571,1,0,1,60.6843142857143,42.6630857142857,26.3145428571429,31.0741714285714,6,,,,,69915,2025-03-16,3170404,Unai,MG,2025,12
1741478400000,202511,88.0,88,88,88,0.039832015,101.30429,0,1,317040420251120536,2026-03-24,Unaí,,0.78049403,86867,21.9783857142857,70.8539571428571,0,0,1,51.3511857142857,34.4369428571429,27.2766714285714,32.3794857142857,6,,,,,69915,2025-03-09,3170404,Unai,MG,2025,11
1740873600000,202510,96.0,96,96,96,0.010543648,110.51377,0,2,317040420251020529,2026-03-17,Unaí,,0.7351484,86867,20.6500285714286,72.8214142857143,1,0,1,56.2081142857143,40.5321142857143,24.9563142857143,29.3705285714286,9,,,,,69915,2025-03-02,3170404,Unai,MG,2025,10
1740268800000,202509,110.0,110,110,110,0.022294968,126.63036,0,2,317040420250920522,2026-03-10,Unaí,,0.77588135,86867,21.0577285714286,78.4706571428571,1,0,1,60.8095,43.9552142857143,25.3828714285714,29.9415142857143,18,,,,,69915,2025-02-23,3170404,Unai,MG,2025,9
1739664000000,202508,131.0,131,131,131,0.40952358,150.80525,0,2,317040420250820516,2026-03-04,Unaí,,0.9723634,86867,20.6079428571429,76.1932142857143,1,0,1,58.0387285714286,40.142,25.772,30.6835142857143,22,,,,,69915,2025-02-16,3170404,Unai,MG,2025,8
1739059200000,202507,158.0,158,158,158,0.99046206,181.88725,0,2,317040420250720508,2026-02-24,Unaí,,1.3265779,86867,20.0641571428571,86.9284,1,1,1,70.9679857142857,53.6202571428571,24.1975142857143,28.3359428571429,9,,,,,69915,2025-02-09,3170404,Unai,MG,2025,7
1738454400000,202506,145.0,145,145,145,0.99076307,166.92184,0,2,317040420250620503,2026-02-19,Unaí,,1.3465807,86867,19.7819428571429,87.0404857142857,1,1,1,71.5678857142857,53.5653428571429,23.7923571428571,27.8721,13,,,,,69915,2025-02-02,3170404,Unai,MG,2025,6
1737849600000,202505,101.0,101,101,101,0.66220593,116.2697,0,2,317040420250520495,2026-02-11,Unaí,,1.0614625,86867,20.5648857142857,93.4258285714286,1,0,1,79.1927857142857,62.3486142857143,24.0557142857143,27.6181857142857,8,,,,,69915,2025-01-26,3170404,Unai,MG,2025,5
1737244800000,202504,125.0,125,125,125,0.9980438,143.89815,0,2,317040420250420491,2026-02-07,Unaí,,1.495983,86867,19.9918285714286,92.7425142857143,1,1,1,74.3800428571429,54.697,24.6994285714286,29.6376,12,,,,,69915,2025-01-19,3170404,Unai,MG,2025,4
1736640000000,202503,84.0,84,84,84,0.77643424,96.699554,0,2,317040420250320486,2026-02-02,Unaí,,1.1281441,86867,20.2732142857143,94.9530857142857,1,0,1,85.2318142857143,69.8091428571429,22.8433571428571,26.0757,7,,,,,69915,2025-01-12,3170404,Unai,MG,2025,3
1736035200000,202502,89.0,89,89,89,0.8742391,102.455475,0,2,317040420250220460,2026-01-07,Unaí,,1.1963953,86867,20.4904,95.4126857142857,1,0,1,83.9442285714286,66.5460428571429,23.3212714285714,27.5108714285714,15,,,,,69915,2025-01-05,3170404,Unai,MG,2025,2
1735430400000,202501,67.0,67,67,67,0.09027053,77.1294,0,2,317040420250120460,2026-01-07,Unaí,,0.80376077,86867,20.2585142857143,95.9277285714286,1,0,1,83.9262285714286,66.2213714285714,23.0440142857143,26.7067714285714,6,,,,,69915,2024-12-29,3170404,Unai,MG,2025,1
1734825600000,202452,66.0,66,66,66,0.039966926,75.97822,0,2,317040420245220438,2025-12-16,Unaí,,0.7533616,86867,20.7032285714286,95.2566,1,0,1,83.8429142857143,65.2558,23.3002,26.7805857142857,8,,,,,69915,2024-12-22,3170404,Unai,MG,2024,52
1734220800000,202451,88.0,88,88,88,0.60744596,101.30429,0,2,317040420245120438,2025-12-16,Unaí,,1.0423044,86867,20.7821,95.4313285714286,1,0,1,81.7637142857143,62.8567,23.9418857142857,28.134,9,,,,,69915,2024-12-15,3170404,Unai,MG,2024,51
1733616000000,202450,100.0,100,100,100,0.6496267,115.118515,0,2,317040420245020438,2025-12-16,Unaí,,1.0565242,86867,20.5308428571429,89.9093,1,0,1,72.2191571428571,52.1690142857143,25.0663714285714,29.7934428571429,8,,,,,69915,2024-12-08,3170404,Unai,MG,2024,50
1733011200000,202449,77.0,77,77,77,0.0022836707,88.64126,0,2,317040420244920432,2025-12-10,Unaí,,0.6626667,86867,20.5383714285714,90.3160714285714,1,0,1,74.9861142857143,56.6238428571429,24.3687285714286,28.4099857142857,15,,,,,69915,2024-12-01,3170404,Unai,MG,2024,49
1732406400000,202448,65.0,65,65,65,2.18285e-05,74.827034,0,2,317040420244820425,2025-12-03,Unaí,,0.54143703,86867,19.8901,91.3193857142857,1,0,1,75.6252428571429,58.5202714285714,23.6526571428571,27.4848428571429,9,,,,,69915,2024-11-24,3170404,Unai,MG,2024,48
1731801600000,202447,158.0,158,158,158,0.99537635,181.88725,0,2,317040420244720418,2025-11-26,Unaí,,1.372253,86867,20.1593285714286,94.9904285714286,1,1,1,80.7201571428571,63.3881,23.6951857142857,27.8203285714286,22,,,,,69915,2024-11-17,3170404,Unai,MG,2024,47
1731196800000,202446,110.0,110,110,110,0.5805497,126.63036,0,2,317040420244620411,2025-11-19,Unaí,,1.0279324,86867,20.1349857142857,94.0076,1,0,1,82.0974,66.5840285714286,22.9357714285714,26.4580142857143,12,,,,,69915,2024-11-10,3170404,Unai,MG,2024,46
