coluna,bloco,tipo,descricao,fonte,papel,preenchida_pct
semanas_favoraveis_8,Climático,float64,Quantas das últimas 8 semanas tiveram temperatura na faixa favorável ao Aedes aegypti.,Derivada,preditor,99.39393939393939
tempmax,Climático,float64,Temperatura máxima da semana.,ERA5/Open-Meteo,apoio,100.0
tempmax_imputado,Climático,int64,Marca 1 quando a temperatura máxima foi imputada naquela linha.,Derivada,apoio,100.0
tempmax_lag1,Climático,float64,A temperatura máxima com defasagem de 1 semanas.,Derivada,apoio,99.84848484848486
tempmax_lag2,Climático,float64,A temperatura máxima com defasagem de 2 semanas.,Derivada,apoio,99.69696969696969
tempmax_lag3,Climático,float64,A temperatura máxima com defasagem de 3 semanas.,Derivada,apoio,99.54545454545455
tempmax_lag4,Climático,float64,A temperatura máxima com defasagem de 4 semanas.,Derivada,preditor,99.39393939393939
tempmax_lag6,Climático,float64,A temperatura máxima com defasagem de 6 semanas.,Derivada,apoio,99.0909090909091
tempmax_lag8,Climático,float64,A temperatura máxima com defasagem de 8 semanas.,Derivada,apoio,98.7878787878788
tempmed,Climático,float64,"Temperatura média da semana, em graus Celsius.",ERA5/Open-Meteo,preditor,100.0
tempmed_anomalia,Climático,float64,"Desvio da temperatura média frente à média histórica da mesma semana do ano, calculada só com anos anteriores.",Derivada,preditor,100.0
tempmed_imputado,Climático,int64,Marca 1 quando a temperatura média foi imputada naquela linha.,Derivada,apoio,100.0
tempmed_lag1,Climático,float64,A temperatura média com defasagem de 1 semanas.,Derivada,apoio,99.84848484848486
tempmed_lag2,Climático,float64,A temperatura média com defasagem de 2 semanas.,Derivada,preditor,99.69696969696969
tempmed_lag3,Climático,float64,A temperatura média com defasagem de 3 semanas.,Derivada,apoio,99.54545454545455
tempmed_lag4,Climático,float64,A temperatura média com defasagem de 4 semanas.,Derivada,preditor,99.39393939393939
tempmed_lag6,Climático,float64,A temperatura média com defasagem de 6 semanas.,Derivada,apoio,99.0909090909091
tempmed_lag8,Climático,float64,A temperatura média com defasagem de 8 semanas.,Derivada,preditor,98.7878787878788
tempmin,Climático,float64,Temperatura mínima da semana.,ERA5/Open-Meteo,apoio,100.0
tempmin_imputado,Climático,int64,Marca 1 quando a temperatura mínima foi imputada naquela linha.,Derivada,apoio,100.0
tempmin_lag1,Climático,float64,A temperatura mínima com defasagem de 1 semanas.,Derivada,apoio,99.84848484848486
tempmin_lag2,Climático,float64,A temperatura mínima com defasagem de 2 semanas.,Derivada,apoio,99.69696969696969
tempmin_lag3,Climático,float64,A temperatura mínima com defasagem de 3 semanas.,Derivada,apoio,99.54545454545455
tempmin_lag4,Climático,float64,A temperatura mínima com defasagem de 4 semanas.,Derivada,preditor,99.39393939393939
tempmin_lag6,Climático,float64,A temperatura mínima com defasagem de 6 semanas.,Derivada,apoio,99.0909090909091
tempmin_lag8,Climático,float64,A temperatura mínima com defasagem de 8 semanas.,Derivada,apoio,98.7878787878788
