municipio,uf,cod_ibge,fonte,conteudo,arquivo_local,url
Abadiania,GO,5200100,InfoDengue,dengue: serie municipio-semana 2014-2026,dados/bruto/infodengue/dengue_5200100.csv,https://info.dengue.mat.br/api/alertcity?geocode=5200100&disease=dengue&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Abadiania,GO,5200100,InfoDengue,chikungunya: serie municipio-semana 2014-2026,dados/bruto/infodengue/chikungunya_5200100.csv,https://info.dengue.mat.br/api/alertcity?geocode=5200100&disease=chikungunya&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Abadiania,GO,5200100,InfoDengue,zika: serie municipio-semana 2014-2026,dados/bruto/infodengue/zika_5200100.csv,https://info.dengue.mat.br/api/alertcity?geocode=5200100&disease=zika&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Abadiania,GO,5200100,IBGE,malha cartografica municipal (GeoJSON),dados/externo/malha_ride_df.geojson,https://servicodados.ibge.gov.br/api/v3/malhas/municipios/5200100?formato=application/vnd.geo+json&qualidade=intermediaria
Agua Fria de Goias,GO,5200175,InfoDengue,dengue: serie municipio-semana 2014-2026,dados/bruto/infodengue/dengue_5200175.csv,https://info.dengue.mat.br/api/alertcity?geocode=5200175&disease=dengue&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Agua Fria de Goias,GO,5200175,InfoDengue,chikungunya: serie municipio-semana 2014-2026,dados/bruto/infodengue/chikungunya_5200175.csv,https://info.dengue.mat.br/api/alertcity?geocode=5200175&disease=chikungunya&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Agua Fria de Goias,GO,5200175,InfoDengue,zika: serie municipio-semana 2014-2026,dados/bruto/infodengue/zika_5200175.csv,https://info.dengue.mat.br/api/alertcity?geocode=5200175&disease=zika&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Agua Fria de Goias,GO,5200175,IBGE,malha cartografica municipal (GeoJSON),dados/externo/malha_ride_df.geojson,https://servicodados.ibge.gov.br/api/v3/malhas/municipios/5200175?formato=application/vnd.geo+json&qualidade=intermediaria
Aguas Lindas de Goias,GO,5200258,InfoDengue,dengue: serie municipio-semana 2014-2026,dados/bruto/infodengue/dengue_5200258.csv,https://info.dengue.mat.br/api/alertcity?geocode=5200258&disease=dengue&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Aguas Lindas de Goias,GO,5200258,InfoDengue,chikungunya: serie municipio-semana 2014-2026,dados/bruto/infodengue/chikungunya_5200258.csv,https://info.dengue.mat.br/api/alertcity?geocode=5200258&disease=chikungunya&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Aguas Lindas de Goias,GO,5200258,InfoDengue,zika: serie municipio-semana 2014-2026,dados/bruto/infodengue/zika_5200258.csv,https://info.dengue.mat.br/api/alertcity?geocode=5200258&disease=zika&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Aguas Lindas de Goias,GO,5200258,IBGE,malha cartografica municipal (GeoJSON),dados/externo/malha_ride_df.geojson,https://servicodados.ibge.gov.br/api/v3/malhas/municipios/5200258?formato=application/vnd.geo+json&qualidade=intermediaria
Alexania,GO,5200308,InfoDengue,dengue: serie municipio-semana 2014-2026,dados/bruto/infodengue/dengue_5200308.csv,https://info.dengue.mat.br/api/alertcity?geocode=5200308&disease=dengue&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Alexania,GO,5200308,InfoDengue,chikungunya: serie municipio-semana 2014-2026,dados/bruto/infodengue/chikungunya_5200308.csv,https://info.dengue.mat.br/api/alertcity?geocode=5200308&disease=chikungunya&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Alexania,GO,5200308,InfoDengue,zika: serie municipio-semana 2014-2026,dados/bruto/infodengue/zika_5200308.csv,https://info.dengue.mat.br/api/alertcity?geocode=5200308&disease=zika&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Alexania,GO,5200308,IBGE,malha cartografica municipal (GeoJSON),dados/externo/malha_ride_df.geojson,https://servicodados.ibge.gov.br/api/v3/malhas/municipios/5200308?formato=application/vnd.geo+json&qualidade=intermediaria
Alto Paraiso de Goias,GO,5200605,InfoDengue,dengue: serie municipio-semana 2014-2026,dados/bruto/infodengue/dengue_5200605.csv,https://info.dengue.mat.br/api/alertcity?geocode=5200605&disease=dengue&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
