modelo,ano,n_treino,n_teste,auc,auprc,brier
rede_neural,2021,137808,24128,0.7505,0.5714,0.1828
lightgbm_janela,2021,137808,24128,0.7999,0.6427,0.1693
lightgbm_variaveis,2021,145232,24128,0.8153,0.6666,0.1558
rede_neural,2022,161936,24128,0.7835,0.7544,0.2063
lightgbm_janela,2022,161936,24128,0.8285,0.7999,0.1824
lightgbm_variaveis,2022,169360,24128,0.8466,0.8239,0.1705
rede_neural,2023,186064,24128,0.7812,0.7256,0.1997
lightgbm_janela,2023,186064,24128,0.8216,0.7699,0.1781
lightgbm_variaveis,2023,193488,24128,0.8339,0.7866,0.1673
rede_neural,2024,210192,24128,0.8089,0.8299,0.1874
lightgbm_janela,2024,210192,24128,0.8284,0.8429,0.1747
lightgbm_variaveis,2024,217616,24142,0.8432,0.8597,0.1678
rede_neural,2025,234320,24662,0.7834,0.7592,0.1994
lightgbm_janela,2025,234320,24662,0.8209,0.8026,0.1831
lightgbm_variaveis,2025,241758,24696,0.8354,0.82,0.178
